iter	RMSE
0	0.6377876969
1	0.5995359045
2	0.5666179183
3	0.5380766067
4	0.5136440908
5	0.4928511935
6	0.4748292301
7	0.459399287
8	0.4461720574
9	0.4348832363
10	0.4251956948
11	0.4169334065
12	0.4098846456
13	0.4033553899
14	0.397866019
15	0.3933250834
16	0.3891918925
17	0.3855222473
18	0.3822014329
19	0.3791692006
20	0.3764096102
21	0.3736714199
22	0.371356843
23	0.3692159791
24	0.3673254451
25	0.3654787734
26	0.3636846609
27	0.3620459164
28	0.3605312799
29	0.3590876479
30	0.3574903843
31	0.3562720425
32	0.3550214988
33	0.3539590155
34	0.3528601884
35	0.351795263
36	0.3507206235
37	0.3498247349
38	0.3488209383
39	0.347776954
40	0.3467783734
41	0.3458395256
42	0.3449768159
43	0.3441312986
44	0.3433869102
45	0.3424252171
46	0.3416203062
47	0.3407630779
48	0.3398417966
49	0.3392073408
50	0.3383767483
51	0.3374672702
52	0.3366725931
53	0.3359191747
54	0.3351964746
55	0.3347187865
56	0.3340868755
57	0.333487487
58	0.3329848741
59	0.3323054316
60	0.331775192
61	0.331221139
62	0.33078234
63	0.3301131594
64	0.3294279198
65	0.3287358138
66	0.3282087154
67	0.3276199706
68	0.3271473603
69	0.3265339451
70	0.3257670122
71	0.3253127349
72	0.324854193
73	0.324073485
74	0.3234708449
75	0.3229248947
76	0.3220928647
77	0.3215885412
78	0.3211927571
79	0.3207007918
80	0.3196002143
81	0.3189450942
82	0.3183034171
83	0.3178054503
84	0.3171143288
85	0.31665213
86	0.3161181173
87	0.3156351384
88	0.3149625766
89	0.3144548901
90	0.3139271206
91	0.3136247201
92	0.3128820802
93	0.3124572514
94	0.3118689088
95	0.3113357765
96	0.3105127833
97	0.3099054356
98	0.3092242678
99	0.3089286564
100	0.3085293974
101	0.3081074201
102	0.3076988181
103	0.3073303147
104	0.3069870342
105	0.3064914951
106	0.3061498238
107	0.3054762142
108	0.3051537745
109	0.3046701498
110	0.3043359315
111	0.3040036285
112	0.3034615809
113	0.3029002037
114	0.3022160679
115	0.3018260853
116	0.3014993893
117	0.301094217
118	0.3007370711
119	0.3003941561
120	0.2999502137
121	0.2995506126
122	0.2991963035
