iter	Passed	Remaining
0	54	26977
1	103	25856
2	153	25501
3	203	25239
4	257	25460
5	307	25343
6	358	25273
7	412	25341
8	469	25625
9	526	25784
10	591	26285
11	645	26268
12	706	26461
13	759	26356
14	815	26354
15	864	26158
16	917	26060
17	971	26023
18	1027	26009
19	1087	26094
20	1142	26054
21	1203	26146
22	1262	26179
23	1325	26283
24	1395	26511
25	1450	26452
26	1508	26422
27	1563	26362
28	1617	26272
29	1669	26160
30	1726	26116
31	1779	26022
32	1832	25934
33	1884	25830
34	1941	25791
35	1994	25704
36	2046	25614
37	2101	25545
38	2154	25463
39	2208	25399
40	2260	25311
41	2316	25261
42	2370	25195
43	2422	25103
44	2474	25023
45	2527	24949
46	2579	24860
47	2631	24783
48	2688	24746
49	2740	24660
50	2793	24590
51	2846	24519
52	2896	24425
53	2951	24379
54	3011	24363
55	3066	24309
56	3118	24238
57	3173	24183
58	3223	24094
59	3278	24045
60	3327	23947
61	3378	23867
62	3431	23801
63	3486	23750
64	3541	23700
65	3591	23615
66	3641	23533
67	3693	23466
68	3742	23380
69	3793	23301
70	3842	23219
71	3890	23127
72	3940	23048
73	3997	23013
74	4050	22954
75	4102	22890
76	4154	22825
77	4203	22739
78	4252	22661
79	4299	22572
80	4352	22513
81	4403	22445
82	4453	22372
83	4504	22306
84	4555	22243
85	4605	22170
86	4649	22070
87	4697	21993
88	4745	21914
89	4790	21825
90	4838	21745
91	4883	21655
92	4933	21589
93	4979	21506
94	5024	21420
95	5079	21375
96	5131	21319
97	5180	21251
98	5232	21192
99	5281	21126
100	5329	21055
101	5376	20978
102	5425	20910
103	5472	20837
104	5524	20780
105	5585	20759
106	5640	20717
107	5702	20698
108	5770	20699
109	5827	20661
110	5893	20652
111	5960	20647
112	6011	20589
113	6062	20527
114	6117	20480
115	6169	20422
116	6223	20374
117	6285	20347
118	6352	20337
119	6412	20305
120	6467	20256
121	6517	20194
122	6568	20131
123	6616	20063
124	6666	20000
